sample_id,source_path,window_start_ts,window_end_ts,window_rel_start_s,window_rel_end_s,count_2e4,frame116_count,seed_touch_present,ramp_present,phase_plateau_present,phase_exit_present,corridor_ratio,aligned_ratio,fff4_hits,max_phase_sum,grade,ladder_level
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179646506,1777179661506,280.0,295.0,506,528,0,0,0,0,0.0,0.309,0,136,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson,1777179651506,1777179666506,285.0,300.0,502,517,0,0,0,0,0.0,0.275,0,96,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179400869,1777179415869,0.0,15.0,497,518,0,0,0,0,0.0,0.958,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179405869,1777179420869,5.0,20.0,501,523,0,0,0,0,0.0,0.966,0,0,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179410869,1777179425869,10.0,25.0,506,521,0,0,0,0,0.0,0.904,0,36,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179415869,1777179430869,15.0,30.0,513,524,0,0,0,0,0.0,0.698,0,53,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179420869,1777179435869,20.0,35.0,503,527,0,0,0,0,0.0,0.501,0,53,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179425869,1777179440869,25.0,40.0,500,527,0,0,0,0,0.0,0.249,0,92,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179430869,1777179445869,30.0,45.0,502,517,0,0,0,0,0.0,0.234,0,92,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179435869,1777179450869,35.0,50.0,517,514,0,0,0,0,0.0,0.144,0,92,D,
D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014,D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_seg_IGN_ON_20260426_045640_014.ndjson,1777179440869,1777179455869,40.0,55.0,523,511,0,0,0,0,0.0,0.143,0,154,D,
