"sample_id","sample_path","value_type_primary","ladder_level","grade","frame116_count","duration_min","seed_touch_present","ramp_present","phase_plateau_present","phase_exit_present","joined_lifecycle_strength","family_131_primary_zone","family_260_primary_zone","family_131_260_aligned","family_fff4_presence","corridor_match_strength","id_2e4_activity_level","id_d8_structural_reference_strength","companion_primary_mode","companion_b45_abs_corr","companion_b67_abs_corr","disengage_suspect_present","lane_change_transition_present","active_core_present","late_stop_present","bridge_candidate","top_tier_peak_count","parse_errors","notes"
"toyota_seg_IGN_ON_20260315_171414_000","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_171414_000.ndjson","entry_side","3","B","24011","11.64","1","1","0","0","1","001c","001c","3","1","1","1","1","b4-b5","0.151","0.025","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260315_172552_001","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_172552_001.ndjson","entry_side","3","B","23896","11.05","1","1","0","0","1","0035","003b","2","1","1","1","1","dual","0.09","0.077","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260315_173655_002","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_173655_002.ndjson","entry_side","3","B","24039","11.19","1","1","0","0","1","ffbe","ffbe","2","1","1","1","1","b4-b5","0.621","0.017","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260315_174807_003","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_174807_003.ndjson","entry_side","","C","24083","11.1","0","1","0","0","0","003a","003b","1","1","1","1","1","dual","0.136","0.154","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260315_175912_004","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_175912_004.ndjson","entry_side","","C","24113","11.01","0","1","1","1","0","001c","001c","2","1","1","1","1","b4-b5","0.447","0.016","","","","","no","1","0",""
"toyota_seg_IGN_ON_20260315_181013_005","D:\Temp\20260312\raw_can_logs\20260316\raw_can_logs\toyota_seg_IGN_ON_20260315_181013_005.ndjson","entry_side","3","B","16281","7.9","1","1","0","0","1","f986","008a","3","1","1","1","1","b4-b5","0.49","0.026","","","","","no","0","0",""
"toyota_all_20260329_072803_000","D:\Temp\20260312\raw_can_logs\20260329\raw_can_logs\toyota_all_20260329_072803_000.ndjson","companion_control","","D","385","0.18","0","0","0","0","0","fef0","fef0","3","0","0","1","1","dual","0.06","0.06","","","","","no","0","0",""
"toyota_seg_IGN_ON_20260329_072804_000","D:\Temp\20260312\raw_can_logs\20260329\raw_can_logs\toyota_seg_IGN_ON_20260329_072804_000.ndjson","companion_control","","D","348","0.16","0","0","0","0","0","fef0","fef0","3","0","0","1","1","dual","0.06","0.06","","","","","no","0","0",""
"toyota_all_20260329_072803_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260329_072803_000.ndjson","companion_control","","D","385","0.18","0","0","0","0","0","fef0","fef0","3","0","0","1","1","dual","0.06","0.06","","","","","no","0","0",""
"toyota_all_20260418_163135_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260418_163135_000.ndjson","entry_side","3","B","10490","5.5","1","1","0","0","1","0000","ff8b","3","1","1","1","1","b4-b5","0.28","0.081","","","","","no","0","0",""
"toyota_all_20260418_163705_001","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260418_163705_001.ndjson","entry_side","3","B","10358","4.98","1","1","0","0","1","f986","0099","3","1","1","1","1","b4-b5","0.311","0.061","","","","","no","0","0",""
"toyota_all_20260418_164204_002","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260418_164204_002.ndjson","companion_control","","D","892","0.81","0","0","0","0","0","ff8a","ff8a","3","0","0","1","1","dual","0.024","0.024","","","","","no","0","0",""
"toyota_all_20260418_175240_000","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260418_175240_000.ndjson","entry_side","","C","10371","4.82","0","1","0","0","0","ff9f","ff9f","3","1","1","1","1","b4-b5","0.565","0.085","","","","","no","0","0",""
"toyota_all_20260418_175729_001","D:\Temp\20260312\raw_can_logs\20260418\raw_can_logs\toyota_all_20260418_175729_001.ndjson","entry_side","3","B","10401","4.83","1","1","0","0","1","0002","0002","3","1","1","1","1","b4-b5","0.175","0.035","","","","","no","0","0",""
